,productsListId,name,productName,url,stock,priceWithGST,createdAt,companyName,runtime
37,44,Teensy 4.1 Development Board,Teensy 4.1 Development Board,https://robu.in/product/buy-teensy-4-1-development-board/,74,2639,27-04-2024,ROBU,1
38,45,Raspberry Pi Sense HAT for the Pi 3/2/B+/A+ Model,Raspberry Pi Sense Hat,https://robu.in/product/raspberry-pi-sense-hat-for-the-pi-3-2-b-a-model/,0,3199,27-04-2024,ROBU,1
39,46,Arduino Uno Mini Limited Edition ABX00062,Arduino UNO Mini (Limited Edition),https://robu.in/product/arduino-uno-mini-limited-edition/,366,3799,27-04-2024,ROBU,1
40,47,SeeedStudio Grove PH Sensor Kit (E201CBlue ),Analog pH Sensor Electrode with Amplifier Circuit,https://robu.in/product/grove-ph-sensor-kit-e-201c-blue/,0,1649,27-04-2024,ROBU,1
41,48,Official Micro-HDMI (Male) to Standard HDMI (Male) Cable for Raspberry Pi,Raspberry Pi Official Micro-HDMI to Standard HDMI Cable,https://robu.in/product/micro-hdmi-male-to-standard-hdmi-male-cable-for-raspberry-pi-4/,856,409,27-04-2024,ROBU,1
42,49,XH-W3001 AC 220V 1500W Digital Microcomputer Thermostat Switch,XH-W3001 220V 10A Digital Display LED Temperature Controller With Thermostat Control Switch Probe,https://robu.in/product/xh-w3001-ac-220v-1500w-digital-microcomputer-thermostat-switch/,0,158,27-04-2024,ROBU,1
43,50,Mini MP1584 DC-DC 3A Adjustable Buck Module (Made In India),MP1584EN Mini LM2596 ultra-small DC-DC step-down,https://robu.in/product/mini-mp1584-dc-dc-adjustable-buck-module-3a/,1882,49,27-04-2024,ROBU,1
44,51,Pocket BeagleBone Board,Pocket BeagleBone Board,https://robu.in/product/pocketbeagle-board/,0,3999,27-04-2024,ROBU,1
45,52,SimonK 30A BLDC ESC Electronic Speed Controller Without Connectors,Simonk Red ESC 30A without Connector for Quadcopter,https://robu.in/product/simonk-30a-bldc-esc-electronic-speed-controller-without-connectors/,114,382,27-04-2024,ROBU,1
46,53,Mega 2560 ATmega2560-16U2 Board without USB Cable for Arduino,MEGA 2560 Atmel R3 Board compatible with Arduino,https://robu.in/product/mega-2560-atmega2560-16au-board-without-usb-cable/,37,1489,27-04-2024,ROBU,1
